,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Price,Location,MatchedDistricts,Description,Date,Lat,Lon,Bedrooms,Bathrooms,Apartment,WaterTank
0,0,0.0,0.0,55000000.0,KANOMBE,"KANOMBE, Rwanda",Ndagurisha inzu nziza cyane iri kanombe kuri cumi nagatanu 15 hafi na kaburimbo igurishwa ifite chambre 4 tuwarete 3 saro saramange ni gikoni munzu igurishwa million 55 uyishaka wa hamagara kuri tel 0784969631 whatsap 0783422422,Posted On: 10-Dec-2019,-1.9617271,30.146460700000002,4,3,False,False
1,1,1.0,1.0,60000000.0,KIMIRONKO,"KIMIRONKO, Rwanda",Ndagurisha inzu nziza cyane ikomeye ifite na makorone ifite chambre 4 tuwarete 3 saro saramange ni gikoni munzu iri kimironko kwa nayinzira hafi ni shuri rya egisera igurishwa million 60 uyishaka wahamagara kuri tel 0783422422,Posted On: 10-Dec-2019,-1.942618,30.1382016,4,3,False,False
2,2,2.0,2.0,35000000.0,KIMIRONKO,"KIMIRONKO, Rwanda",Ndagurisha inzu ituzuye iri kimironko mwizindiro ifite chambre 4 tuwarete 3 saro saramange ni gikoni munzu igurishwa million 35 yubakishije amatafari ahiye uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,Posted On: 10-Dec-2019,-1.942618,30.1382016,4,3,False,False
3,3,3.0,3.0,2500000.0,KIMIRONKO,"KIMIRONKO, Rwanda","Ndagurisha inzu yamake iri hafi nu ruganda rwa Azam ifite pariseri nini iri kumuhanda igurishwa million 2,500,000 uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422",Posted On: 10-Dec-2019,-1.942618,30.1382016,,,False,False
4,4,4.0,4.0,47000000.0,KIMIRONKO,"KIMIRONKO, Rwanda",Ndagurisha inzu nziza cyane iri kanombe ku gasaraba ifite chambre 4 tuwarete 3 saro saramange ni gikoni munzu igurishwa million 47 uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,Posted On: 10-Dec-2019,-1.942618,30.1382016,4,3,False,False
5,5,5.0,5.0,45000000.0,KIMIRONKO,"KIMIRONKO, Rwanda",Ndagurisha inzu nziza cyane iri kwa mushimire ifite chambre 4 tuwarete 2 saro saramange ni gikoni munzu igurishwa million 45 uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,Posted On: 10-Dec-2019,-1.942618,30.1382016,4,2,False,False
6,6,6.0,6.0,7000000.0,KIMIRONKO,"KIMIRONKO, Rwanda",Ndagurisha inzu iri hafi nu ruganda rwa Azam ifite chambre 3 na saro na magaze ifite ibyangombwa ubishaka wa yongera ifite pariseri nini igurishwa million 7 uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,Posted On: 10-Dec-2019,-1.942618,30.1382016,3,,False,False
7,7,7.0,7.0,13000000.0,KIMIRONKO,"KIMIRONKO, Rwanda",Ndagurisha inzu nziza cyane ya make iri masizi hafi na kimironko ifite chambre 3 nini uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,Posted On: 10-Dec-2019,-1.942618,30.1382016,3,,False,False
8,8,8.0,8.0,24000000.0,KIMIRONKO,"KIMIRONKO, Rwanda",Ndagurisha inzu ituzuye iri masizi hafi na kimironko ifite chambre 4 tuwarete 3 saro saramange ni gikoni munzu igurishwa million 24 uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,Posted On: 10-Dec-2019,-1.942618,30.1382016,4,3,False,False
9,9,9.0,9.0,40000000.0,KIMIRONKO,"KIMIRONKO, Rwanda",Ndagurisha inzu nziza cyane iri masizi hafi na kimironko igurishwa million 40 ifite chambre 4 tuwarete 3 saro saramange ni gikoni munzu uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,Posted On: 10-Dec-2019,-1.942618,30.1382016,4,3,False,False
